index,carat,cut,color,clarity,depth,table,x,y,z,price
1004,0.79,Ideal,G,SI1,62.3,57.0,5.9,5.85,3.66,2898
1005,0.79,Ideal,G,SI1,62.3,57.0,5.9,5.85,3.66,2898
1006,0.79,Ideal,G,SI1,62.3,57.0,5.9,5.85,3.66,2898
1007,0.79,Ideal,G,SI1,62.3,57.0,5.9,5.85,3.66,2898
1008,0.79,Ideal,G,SI1,62.3,57.0,5.9,5.85,3.66,2898
2024,1.52,Good,E,I1,57.3,58.0,7.53,7.42,4.28,3105
2025,1.52,Good,E,I1,57.3,58.0,7.53,7.42,4.28,3105
2182,1.0,Fair,E,SI2,67.0,53.0,6.19,6.13,4.13,3136
2183,1.0,Fair,E,SI2,67.0,53.0,6.19,6.13,4.13,3136
2819,1.0,Fair,F,SI2,65.1,55.0,6.26,6.23,4.07,3265
2820,1.0,Fair,F,SI2,65.1,55.0,6.26,6.23,4.07,3265
3155,0.9,Very Good,I,VS2,58.4,62.0,6.29,6.35,3.69,3334
3156,0.9,Very Good,I,VS2,58.4,62.0,6.29,6.35,3.69,3334
3703,1.0,Ideal,E,SI2,62.9,56.0,6.32,6.3,3.97,3450
3704,1.0,Ideal,E,SI2,62.9,56.0,6.32,6.3,3.97,3450
3980,1.0,Fair,H,SI1,65.5,57.0,6.26,6.21,4.08,3511
3981,1.0,Fair,H,SI1,65.5,57.0,6.26,6.21,4.08,3511
4072,0.31,Good,D,SI1,63.5,56.0,4.29,4.31,2.73,571
4386,0.31,Good,D,SI1,63.5,56.0,4.29,4.31,2.73,571
4492,1.0,Ideal,I,SI2,58.8,55.0,6.53,6.46,3.82,3629
4493,1.0,Ideal,I,SI2,58.8,55.0,6.53,6.46,3.82,3629
4519,1.0,Premium,G,SI1,60.1,61.0,6.44,6.4,3.86,3634
4520,1.0,Premium,G,SI1,60.1,61.0,6.44,6.4,3.86,3634
5174,1.04,Premium,I,SI2,62.0,57.0,6.53,6.47,4.03,3774
5175,1.04,Premium,I,SI2,62.0,57.0,6.53,6.47,4.03,3774
5658,1.0,Premium,F,SI1,59.4,62.0,6.55,6.52,3.88,3881
5665,1.0,Premium,F,SI1,59.4,62.0,6.55,6.52,3.88,3881
6334,1.0,Premium,H,SI2,61.0,57.0,6.51,6.4,3.94,4032
6337,1.0,Premium,H,SI2,61.0,57.0,6.51,6.4,3.94,4032
7050,0.33,Ideal,E,SI1,62.5,55.0,4.42,4.45,2.77,579
7711,0.33,Ideal,E,SI1,62.5,55.0,4.42,4.45,2.77,579
7743,1.24,Premium,E,SI2,60.8,57.0,6.98,6.94,4.23,4278
7744,1.24,Premium,E,SI2,60.8,57.0,6.98,6.94,4.23,4278
8330,1.09,Premium,H,SI2,61.2,62.0,6.63,6.58,4.04,4395
8331,1.09,Premium,H,SI2,61.2,62.0,6.63,6.58,4.04,4395
8600,1.03,Good,D,SI1,64.3,58.0,6.31,6.28,4.05,4441
8601,1.03,Good,D,SI1,64.3,58.0,6.31,6.28,4.05,4441
9195,1.31,Premium,H,SI2,61.7,59.0,7.03,6.98,4.32,4548
9196,1.31,Premium,H,SI2,61.7,59.0,7.03,6.98,4.32,4548
9592,1.06,Ideal,I,SI1,61.2,56.0,6.64,6.6,4.05,4630
9593,1.06,Ideal,I,SI1,61.2,56.0,6.64,6.6,4.05,4630
10179,1.22,Premium,I,SI2,61.5,61.0,6.89,6.83,4.22,4735
10180,1.22,Premium,I,SI2,61.5,61.0,6.89,6.83,4.22,4735
10362,1.23,Ideal,I,SI2,62.3,55.0,6.85,6.82,4.26,4773
10363,1.23,Ideal,I,SI2,62.3,55.0,6.85,6.82,4.26,4773
10471,1.01,Fair,F,VS2,64.8,56.0,6.3,6.25,4.07,4791
10472,1.01,Fair,F,VS2,64.8,56.0,6.3,6.25,4.07,4791
11008,1.1,Premium,H,SI1,63.0,58.0,6.6,6.55,4.14,4916
11009,1.1,Premium,H,SI1,63.0,58.0,6.6,6.55,4.14,4916
11242,1.1,Premium,E,SI2,59.1,60.0,6.77,6.7,3.98,4967
11243,1.1,Premium,E,SI2,59.1,60.0,6.77,6.7,3.98,4967
11314,1.23,Ideal,J,VS2,61.8,56.0,6.87,6.81,4.23,4986
11315,1.23,Ideal,J,VS2,61.8,56.0,6.87,6.81,4.23,4986
12265,1.5,Good,H,SI2,64.0,61.0,7.18,7.14,4.58,5208
12266,1.5,Good,H,SI2,64.0,61.0,7.18,7.14,4.58,5208
12292,1.21,Premium,H,SI2,61.9,55.0,6.84,6.79,4.22,5218
12293,1.21,Premium,H,SI2,61.9,55.0,6.84,6.79,4.22,5218
12642,1.01,Premium,H,VS1,61.2,61.0,6.44,6.41,3.93,5294
12644,1.01,Premium,H,VS1,61.2,61.0,6.44,6.41,3.93,5294
13859,1.0,Very Good,D,SI1,63.1,56.0,6.34,6.3,3.99,5645
13860,1.0,Very Good,D,SI1,63.1,56.0,6.34,6.3,3.99,5645
14001,1.2,Premium,I,VS2,62.6,58.0,6.77,6.72,4.22,5699
14002,1.2,Premium,I,VS2,62.6,58.0,6.77,6.72,4.22,5699
14921,1.5,Good,G,SI2,57.5,63.0,7.53,7.49,4.32,6006
14922,1.5,Good,G,SI2,57.5,63.0,7.53,7.49,4.32,6006
15011,1.51,Good,I,SI1,63.8,57.0,7.21,7.18,4.59,6046
15012,1.51,Good,I,SI1,63.8,57.0,7.21,7.18,4.59,6046
15316,1.3,Very Good,F,SI2,61.1,58.0,6.98,7.02,4.28,6149
15317,1.3,Very Good,F,SI2,61.1,58.0,6.98,7.02,4.28,6149
15454,1.21,Very Good,H,VS2,62.9,57.0,6.75,6.8,4.26,6189
15455,1.21,Very Good,H,VS2,62.9,57.0,6.75,6.8,4.26,6189
16268,1.21,Premium,D,SI2,62.5,57.0,6.79,6.71,4.22,6505
16269,1.21,Premium,D,SI2,62.5,57.0,6.79,6.71,4.22,6505
17137,1.5,Fair,H,SI1,65.0,57.0,7.1,7.06,4.6,6838
17138,1.5,Fair,H,SI1,65.0,57.0,7.1,7.06,4.6,6838
17554,1.55,Very Good,H,SI1,63.2,57.0,7.35,7.31,4.64,7066
17555,1.55,Very Good,H,SI1,63.2,57.0,7.35,7.31,4.64,7066
18688,1.5,Premium,F,SI2,58.5,60.0,7.52,7.48,4.39,7644
18689,1.5,Premium,F,SI2,58.5,60.0,7.52,7.48,4.39,7644
19675,1.51,Ideal,G,SI1,61.6,56.0,7.34,7.25,4.5,8283
19676,1.51,Ideal,G,SI1,61.6,56.0,7.34,7.25,4.5,8283
20376,0.31,Ideal,H,VVS2,62.4,57.0,4.32,4.36,2.71,625
20628,1.0,Premium,F,VVS2,60.6,54.0,6.56,6.52,3.96,8924
20629,1.0,Premium,F,VVS2,60.6,54.0,6.56,6.52,3.96,8924
21047,0.31,Ideal,H,VVS2,62.4,57.0,4.32,4.36,2.71,625
21601,1.5,Good,I,VS1,57.2,62.0,7.64,7.61,4.36,9702
21602,1.5,Good,I,VS1,57.2,62.0,7.64,7.61,4.36,9702
21782,2.05,Premium,I,SI2,62.0,58.0,8.13,8.08,5.02,9850
21783,2.05,Premium,I,SI2,62.0,58.0,8.13,8.08,5.02,9850
22145,2.01,Fair,H,SI2,64.9,56.0,7.88,7.81,5.09,10184
22146,2.01,Fair,H,SI2,64.9,56.0,7.88,7.81,5.09,10184
22147,2.01,Good,I,SI1,64.1,60.0,7.92,7.88,5.06,10184
22148,2.01,Good,I,SI1,64.1,60.0,7.92,7.88,5.06,10184
22374,0.31,Ideal,H,VS2,63.0,57.0,4.34,4.32,2.73,628
22375,0.31,Ideal,H,VS2,63.0,57.0,4.34,4.32,2.73,628
22391,2.0,Good,G,SI2,64.3,60.0,7.87,7.83,5.05,10416
22392,2.0,Good,G,SI2,64.3,60.0,7.87,7.83,5.05,10416
22808,2.0,Premium,G,SI2,60.7,60.0,8.13,8.07,4.92,10833
22809,2.0,Premium,G,SI2,60.7,60.0,8.13,8.07,4.92,10833
22851,2.01,Fair,G,SI2,65.9,57.0,7.85,7.78,5.15,10887
22852,2.01,Fair,G,SI2,65.9,57.0,7.85,7.78,5.15,10887
23328,1.51,Premium,F,SI1,62.2,58.0,7.32,7.27,4.54,11374
23329,1.51,Premium,F,SI1,62.2,58.0,7.32,7.27,4.54,11374
23734,2.01,Very Good,H,SI2,63.4,60.0,7.97,7.89,5.03,11780
23735,2.01,Very Good,H,SI2,63.4,60.0,7.97,7.89,5.03,11780
23978,2.1,Good,H,SI1,63.7,61.0,8.1,8.07,5.15,12121
23979,2.1,Good,H,SI1,63.7,61.0,8.1,8.07,5.15,12121
24160,2.01,Premium,I,SI2,62.0,56.0,8.01,7.87,4.92,12338
24161,2.01,Premium,I,SI2,62.0,56.0,8.01,7.87,4.92,12338
24862,2.5,Fair,H,SI2,64.9,58.0,8.46,8.43,5.48,13278
24863,2.5,Fair,H,SI2,64.9,58.0,8.46,8.43,5.48,13278
25338,2.3,Premium,H,SI2,60.6,59.0,8.4,8.37,5.08,14042
25339,2.3,Premium,H,SI2,60.6,59.0,8.4,8.37,5.08,14042
25941,1.8,Ideal,H,VS1,62.3,56.0,7.79,7.76,4.84,15105
25942,1.8,Ideal,H,VS1,62.3,56.0,7.79,7.76,4.84,15105
26070,2.05,Premium,G,SI1,61.6,59.0,8.2,8.16,5.04,15291
26071,2.05,Premium,G,SI1,61.6,59.0,8.2,8.16,5.04,15291
26414,2.01,Premium,I,VS2,60.3,62.0,8.13,8.08,4.89,15939
26415,2.01,Premium,I,VS2,60.3,62.0,8.13,8.08,4.89,15939
26553,2.66,Good,H,SI2,63.8,57.0,8.71,8.65,5.54,16239
26554,2.66,Good,H,SI2,63.8,57.0,8.71,8.65,5.54,16239
26607,2.54,Very Good,H,SI2,63.5,56.0,8.68,8.65,5.5,16353
26608,2.54,Very Good,H,SI2,63.5,56.0,8.68,8.65,5.5,16353
26709,0.32,Ideal,H,VVS2,61.8,55.0,4.38,4.42,2.72,645
27026,2.42,Premium,J,VS2,61.3,59.0,8.61,8.58,5.27,17168
27027,2.42,Premium,J,VS2,61.3,59.0,8.61,8.58,5.27,17168
27047,0.32,Ideal,H,VVS2,61.8,55.0,4.38,4.42,2.72,645
27515,3.01,Fair,I,SI2,65.8,56.0,8.99,8.94,5.9,18242
27516,3.01,Fair,I,SI2,65.8,56.0,8.99,8.94,5.9,18242
27517,3.01,Good,I,SI2,63.9,60.0,9.06,9.01,5.77,18242
27518,3.01,Good,I,SI2,63.9,60.0,9.06,9.01,5.77,18242
27763,0.32,Premium,H,VS2,60.6,58.0,4.47,4.44,2.7,648
27764,0.32,Premium,H,VS2,60.6,58.0,4.47,4.44,2.7,648
28077,0.4,Ideal,J,VVS2,61.8,55.0,4.76,4.79,2.95,662
28080,0.4,Ideal,J,VVS2,61.8,55.0,4.76,4.79,2.95,662
28108,0.36,Ideal,D,SI1,62.7,57.0,4.54,4.59,2.86,663
28116,0.36,Ideal,D,SI1,62.7,57.0,4.54,4.59,2.86,663
28240,0.33,Ideal,G,VS1,62.1,56.0,4.4,4.42,2.74,666
28248,0.33,Ideal,G,VS1,62.1,55.0,4.43,4.46,2.76,666
28325,0.33,Ideal,G,VS1,62.1,55.0,4.43,4.46,2.76,666
28341,0.33,Ideal,G,VS1,62.1,56.0,4.4,4.42,2.74,666
28592,0.3,Ideal,G,VS2,63.0,55.0,4.31,4.29,2.71,675
28593,0.3,Ideal,G,VS2,63.0,55.0,4.31,4.29,2.71,675
29026,0.31,Ideal,H,VVS1,61.6,55.0,4.37,4.4,2.7,687
29029,0.31,Ideal,H,VVS1,61.6,55.0,4.37,4.4,2.7,687
29506,0.32,Ideal,E,VS2,62.1,55.0,4.36,4.4,2.72,702
29508,0.32,Ideal,E,VS2,62.1,55.0,4.36,4.4,2.72,702
29590,0.32,Ideal,D,SI1,62.9,56.0,4.4,4.38,2.76,706
29591,0.32,Ideal,D,SI1,62.9,56.0,4.4,4.38,2.76,706
29605,0.35,Ideal,F,VS2,61.4,54.0,4.54,4.58,2.8,706
29657,0.35,Ideal,F,VS2,61.4,54.0,4.54,4.58,2.8,706
29801,0.3,Premium,D,SI1,62.2,58.0,4.31,4.28,2.67,709
29802,0.3,Premium,D,SI1,62.2,58.0,4.31,4.28,2.67,709
30159,0.4,Very Good,D,SI1,63.0,57.0,4.66,4.7,2.95,720
30163,0.4,Very Good,D,SI1,63.0,57.0,4.66,4.7,2.95,720
30387,0.33,Ideal,H,VVS1,61.7,55.0,4.48,4.5,2.77,730
30392,0.33,Ideal,H,VVS1,61.7,55.0,4.48,4.5,2.77,730
30512,0.31,Very Good,D,SI1,63.5,56.0,4.31,4.29,2.73,732
30513,0.31,Very Good,D,SI1,63.5,56.0,4.31,4.29,2.73,732
30573,0.31,Ideal,D,VS2,62.1,54.0,4.33,4.37,2.7,734
30577,0.31,Ideal,D,VS2,62.1,54.0,4.33,4.37,2.7,734
30662,0.4,Premium,F,SI1,62.5,59.0,4.67,4.71,2.93,737
30668,0.4,Premium,F,SI1,62.5,59.0,4.67,4.71,2.93,737
30884,0.33,Ideal,E,SI1,62.5,55.0,4.45,4.42,2.77,743
30885,0.33,Ideal,E,SI1,62.5,55.0,4.45,4.42,2.77,743
31252,0.46,Ideal,F,SI2,61.5,54.0,4.98,5.01,3.07,758
31253,0.46,Ideal,F,SI2,61.5,54.0,4.98,5.01,3.07,758
31255,0.32,Ideal,D,VS2,61.6,56.0,4.37,4.4,2.7,758
31324,0.32,Ideal,D,VS2,61.6,56.0,4.37,4.4,2.7,758
31624,0.3,Ideal,H,SI1,62.2,57.0,4.26,4.29,2.66,450
31626,0.3,Ideal,H,SI1,62.2,57.0,4.27,4.28,2.66,450
31627,0.3,Ideal,H,SI1,62.2,57.0,4.26,4.29,2.66,450
31629,0.3,Ideal,H,SI1,62.2,57.0,4.27,4.28,2.66,450
32249,0.31,Ideal,H,IF,62.2,54.0,4.38,4.4,2.73,789
32250,0.31,Ideal,H,IF,62.2,54.0,4.38,4.4,2.73,789
32650,0.31,Ideal,H,VVS2,62.4,57.0,4.36,4.32,2.71,802
32651,0.31,Ideal,H,VVS2,62.4,57.0,4.36,4.32,2.71,802
33031,0.32,Ideal,G,VVS1,61.2,55.0,4.41,4.44,2.71,814
33034,0.32,Ideal,G,VVS1,61.2,55.0,4.41,4.44,2.71,814
33348,0.41,Premium,G,VS2,61.4,59.0,4.75,4.79,2.93,827
33381,0.41,Premium,G,VS2,61.4,59.0,4.75,4.79,2.93,827
33422,0.32,Ideal,H,VVS2,61.8,55.0,4.42,4.38,2.72,828
33423,0.32,Ideal,H,VVS2,61.8,55.0,4.42,4.38,2.72,828
33794,0.32,Ideal,E,VVS2,62.3,56.0,4.37,4.4,2.73,842
33808,0.32,Ideal,E,VVS2,62.3,56.0,4.37,4.4,2.73,842
34063,0.36,Ideal,D,SI1,62.7,57.0,4.59,4.54,2.86,851
34064,0.36,Ideal,D,SI1,62.7,57.0,4.59,4.54,2.86,851
34158,0.33,Ideal,G,VS1,62.1,55.0,4.46,4.43,2.76,854
34159,0.33,Ideal,G,VS1,62.1,55.0,4.46,4.43,2.76,854
34179,0.33,Ideal,G,VS1,62.1,56.0,4.42,4.4,2.74,854
34180,0.33,Ideal,G,VS1,62.1,56.0,4.42,4.4,2.74,854
34408,0.3,Ideal,G,IF,62.1,55.0,4.32,4.35,2.69,863
34422,0.3,Ideal,G,IF,62.1,55.0,4.32,4.35,2.69,863
34517,0.33,Ideal,G,VVS1,62.0,56.0,4.45,4.48,2.77,868
34530,0.33,Ideal,G,VVS1,62.0,56.0,4.45,4.48,2.77,868
34662,0.31,Premium,E,VS2,61.6,59.0,4.35,4.32,2.67,872
34663,0.31,Premium,E,VS2,61.6,59.0,4.35,4.32,2.67,872
35448,0.32,Ideal,E,VS2,62.1,55.0,4.4,4.36,2.72,900
35449,0.32,Ideal,E,VS2,62.1,55.0,4.4,4.36,2.72,900
35566,0.35,Ideal,F,VS2,61.4,54.0,4.58,4.54,2.8,906
35569,0.35,Ideal,F,VS2,61.4,54.0,4.58,4.54,2.8,906
36446,0.31,Ideal,D,VS2,62.1,54.0,4.37,4.33,2.7,942
36447,0.31,Ideal,D,VS2,62.1,54.0,4.37,4.33,2.7,942
36473,0.43,Ideal,G,VS1,61.9,55.0,4.84,4.86,3.0,943
36479,0.43,Ideal,G,VS1,61.9,55.0,4.84,4.86,3.0,943
36546,0.4,Premium,F,SI1,62.5,59.0,4.71,4.67,2.93,945
36547,0.4,Premium,F,SI1,62.5,59.0,4.71,4.67,2.93,945
36651,0.35,Premium,J,VS1,62.4,58.0,5.67,5.64,3.53,949
36652,0.35,Premium,J,VS1,62.4,58.0,5.67,5.64,3.53,949
36860,0.42,Ideal,E,VS2,62.4,55.0,4.79,4.83,3.0,958
36866,0.42,Ideal,E,VS2,62.4,55.0,4.79,4.83,3.0,958
37174,0.32,Ideal,D,VS2,61.6,56.0,4.4,4.37,2.7,972
37175,0.32,Ideal,D,VS2,61.6,56.0,4.4,4.37,2.7,972
37372,0.4,Premium,F,VS1,61.4,58.0,4.73,4.75,2.91,982
37377,0.4,Premium,F,VS1,61.4,58.0,4.73,4.75,2.91,982
37495,0.53,Premium,E,SI2,62.2,57.0,5.2,5.16,3.22,984
37496,0.53,Premium,E,SI2,59.9,58.0,5.31,5.27,3.17,984
37497,0.53,Premium,E,SI2,59.9,58.0,5.31,5.27,3.17,984
37498,0.53,Premium,E,SI2,62.2,57.0,5.2,5.16,3.22,984
37743,0.5,Premium,D,SI2,62.9,58.0,5.06,5.01,3.17,997
37744,0.5,Premium,D,SI2,62.9,58.0,5.06,5.01,3.17,997
37996,0.43,Ideal,G,VS1,61.9,55.0,4.86,4.84,3.0,1008
37997,0.43,Ideal,G,VS1,61.9,55.0,4.86,4.84,3.0,1008
38389,0.42,Ideal,E,VS2,62.4,55.0,4.83,4.79,3.0,1024
38390,0.42,Ideal,E,VS2,62.4,55.0,4.83,4.79,3.0,1024
38505,0.5,Fair,F,SI2,65.5,54.0,5.06,4.92,3.25,1031
38507,0.5,Fair,F,SI2,65.5,54.0,5.06,4.92,3.25,1031
38572,0.4,Premium,H,VS1,62.6,58.0,4.71,4.68,2.94,1035
38573,0.4,Premium,H,VS1,62.6,58.0,4.71,4.68,2.94,1035
38633,0.31,Very Good,H,VS2,63.0,57.0,4.32,4.34,2.73,489
38636,0.31,Very Good,H,VS2,63.0,57.0,4.32,4.34,2.73,489
38726,0.4,Ideal,G,VVS1,62.3,54.0,4.75,4.76,2.96,1043
38729,0.4,Ideal,G,VVS1,62.3,54.0,4.75,4.76,2.96,1043
38866,0.4,Premium,F,VS1,61.4,58.0,4.75,4.73,2.91,1050
38867,0.4,Premium,F,VS1,61.4,58.0,4.75,4.73,2.91,1050
38922,0.51,Premium,F,SI2,58.1,59.0,5.26,5.24,3.05,1052
38923,0.51,Premium,F,SI2,58.1,59.0,5.26,5.24,3.05,1052
39057,0.57,Premium,E,SI2,62.5,54.0,5.35,5.3,3.33,1058
39058,0.57,Premium,E,SI2,62.5,54.0,5.35,5.3,3.33,1058
39122,0.41,Premium,G,VS2,61.4,59.0,4.79,4.75,2.93,1061
39129,0.41,Premium,G,VS2,61.4,59.0,4.79,4.75,2.93,1061
39234,0.32,Ideal,D,VVS1,61.8,56.0,4.39,4.41,2.72,1067
39235,0.32,Ideal,D,VVS1,61.8,56.0,4.39,4.41,2.72,1067
39359,0.52,Premium,F,SI2,62.7,57.0,5.11,5.07,3.19,1073
39360,0.52,Premium,F,SI2,62.7,57.0,5.11,5.07,3.19,1073
39442,0.52,Premium,G,SI2,58.4,62.0,5.33,5.28,3.1,1076
39443,0.52,Premium,G,SI2,58.4,62.0,5.33,5.28,3.1,1076
39510,0.32,Ideal,E,VVS2,62.3,56.0,4.4,4.37,2.73,1080
39512,0.32,Ideal,E,VVS2,62.3,56.0,4.4,4.37,2.73,1080
40095,0.33,Ideal,G,VVS1,62.0,56.0,4.48,4.45,2.77,1114
40096,0.33,Ideal,G,VVS1,62.0,56.0,4.48,4.45,2.77,1114
40462,0.32,Ideal,D,VVS1,61.8,56.0,4.41,4.39,2.72,1140
40464,0.32,Ideal,D,VVS1,61.8,56.0,4.41,4.39,2.72,1140
41123,0.6,Premium,D,SI2,62.0,57.0,5.43,5.35,3.34,1196
41124,0.6,Premium,D,SI2,62.0,57.0,5.43,5.35,3.34,1196
41674,0.33,Ideal,F,IF,61.2,56.0,4.47,4.49,2.74,1240
41676,0.33,Ideal,F,IF,61.2,56.0,4.47,4.49,2.74,1240
41797,0.6,Very Good,E,SI2,63.2,60.0,5.32,5.28,3.35,1250
41798,0.6,Very Good,E,SI2,63.2,60.0,5.32,5.28,3.35,1250
42109,0.34,Ideal,F,IF,61.7,55.0,4.49,4.52,2.78,1276
42111,0.34,Ideal,F,IF,61.7,55.0,4.49,4.52,2.78,1276
42973,0.41,Ideal,G,IF,61.7,56.0,4.77,4.8,2.95,1367
42983,0.41,Ideal,G,IF,61.7,56.0,4.77,4.8,2.95,1367
43260,0.3,Very Good,J,VS1,63.4,57.0,4.26,4.23,2.69,506
43261,0.3,Very Good,J,VS1,63.4,57.0,4.26,4.23,2.69,506
43424,0.35,Fair,G,VS2,65.9,54.0,5.57,5.53,3.66,1415
43425,0.35,Fair,G,VS2,65.9,54.0,5.57,5.53,3.66,1415
43494,0.54,Ideal,E,SI1,61.3,56.0,5.22,5.25,3.21,1422
43500,0.54,Ideal,E,SI1,61.3,56.0,5.22,5.25,3.21,1422
43569,0.41,Ideal,G,IF,61.7,56.0,4.8,4.77,2.95,1431
43570,0.41,Ideal,G,IF,61.7,56.0,4.8,4.77,2.95,1431
43995,0.3,Good,J,VS1,63.4,57.0,4.23,4.26,2.69,394
46310,0.3,Very Good,G,VS2,63.0,55.0,4.29,4.31,2.71,526
46567,0.71,Good,E,SI2,57.5,58.0,5.91,5.89,3.39,1783
46568,0.71,Good,E,SI2,57.5,58.0,5.91,5.89,3.39,1783
46648,0.3,Very Good,G,VS2,63.0,55.0,4.29,4.31,2.71,526
47063,0.52,Ideal,D,VS2,61.8,55.0,5.16,5.19,3.2,1822
47069,0.52,Ideal,D,VS2,61.8,55.0,5.16,5.19,3.2,1822
47296,0.3,Good,J,VS1,63.4,57.0,4.23,4.26,2.69,394
47968,0.52,Ideal,D,VS2,61.8,55.0,5.19,5.16,3.2,1919
47969,0.52,Ideal,D,VS2,61.8,55.0,5.19,5.16,3.2,1919
49320,0.51,Ideal,F,VVS2,61.2,56.0,5.17,5.19,3.17,2093
49326,0.51,Ideal,F,VVS2,61.2,56.0,5.17,5.19,3.17,2093
49556,0.71,Good,F,SI2,64.1,60.0,5.7,5.71,3.53,2130
49557,0.71,Good,F,SI2,64.1,60.0,5.7,5.71,3.53,2130
50078,0.51,Ideal,F,VVS2,61.2,56.0,5.19,5.17,3.17,2203
50079,0.51,Ideal,F,VVS2,61.2,56.0,5.19,5.17,3.17,2203
52860,0.5,Fair,E,VS2,79.0,73.0,5.21,5.18,4.09,2579
52861,0.5,Fair,E,VS2,79.0,73.0,5.21,5.18,4.09,2579
